 ZONE i=321, j=33
 0.12878478E+02, 0.35709136E-01
 0.12958812E+02, 0.36016719E-01
 0.13039148E+02, 0.36324314E-01
 0.13119487E+02, 0.36631920E-01
 0.13199829E+02, 0.36939537E-01
 0.13280175E+02, 0.37247165E-01
 0.13360522E+02, 0.37554804E-01
 0.13440873E+02, 0.37862454E-01
 0.13521227E+02, 0.38170114E-01
 0.13601583E+02, 0.38477786E-01
 0.13681943E+02, 0.38785468E-01
 0.13762304E+02, 0.39093161E-01
 0.13842669E+02, 0.39400864E-01
 0.13923037E+02, 0.39708578E-01
 0.14003407E+02, 0.40016301E-01
 0.14083779E+02, 0.40324035E-01
 0.14164155E+02, 0.40631780E-01
 0.14244533E+02, 0.40939534E-01
 0.14324913E+02, 0.41247298E-01
 0.14405297E+02, 0.41555072E-01
 0.14485682E+02, 0.41862856E-01
 0.14566071E+02, 0.42170649E-01
 0.14646461E+02, 0.42478452E-01
 0.14726855E+02, 0.42786264E-01
 0.14807250E+02, 0.43094086E-01
 0.14887648E+02, 0.43401917E-01
 0.14968049E+02, 0.43709758E-01
 0.15048452E+02, 0.44017607E-01
 0.15128857E+02, 0.44325466E-01
 0.15209265E+02, 0.44633333E-01
 0.15289675E+02, 0.44941210E-01
 0.15370087E+02, 0.45249095E-01
 0.15450501E+02, 0.45556988E-01
 0.15530918E+02, 0.45864891E-01
 0.15611337E+02, 0.46172801E-01
 0.15691758E+02, 0.46480721E-01
 0.15772181E+02, 0.46788648E-01
 0.15852607E+02, 0.47096584E-01
 0.15933034E+02, 0.47404528E-01
 0.16013464E+02, 0.47712480E-01
 0.16093896E+02, 0.48020440E-01
 0.16174329E+02, 0.48328407E-01
 0.16254765E+02, 0.48636383E-01
 0.16335203E+02, 0.48944366E-01
 0.16415643E+02, 0.49252357E-01
 0.16496085E+02, 0.49560355E-01
 0.16576528E+02, 0.49868361E-01
 0.16656974E+02, 0.50176374E-01
 0.16737421E+02, 0.50484394E-01
 0.16817871E+02, 0.50792422E-01
 0.16898322E+02, 0.51100456E-01
 0.16978775E+02, 0.51408497E-01
 0.17059230E+02, 0.51716546E-01
 0.17139686E+02, 0.52024601E-01
 0.17220145E+02, 0.52332662E-01
 0.17300605E+02, 0.52640731E-01
 0.17381067E+02, 0.52948806E-01
 0.17461530E+02, 0.53256887E-01
 0.17541995E+02, 0.53564975E-01
 0.17622462E+02, 0.53873068E-01
 0.17702930E+02, 0.54181168E-01
 0.17783400E+02, 0.54489274E-01
 0.17863872E+02, 0.54797386E-01
 0.17944345E+02, 0.55105504E-01
 0.18024819E+02, 0.55413628E-01
 0.18105295E+02, 0.55721757E-01
 0.18185773E+02, 0.56029892E-01
 0.18266252E+02, 0.56338033E-01
 0.18346732E+02, 0.56646179E-01
 0.18427214E+02, 0.56954330E-01
 0.18507697E+02, 0.57262487E-01
 0.18588181E+02, 0.57570648E-01
 0.18668667E+02, 0.57878815E-01
 0.18749154E+02, 0.58186987E-01
 0.18829642E+02, 0.58495163E-01
 0.18910132E+02, 0.58803345E-01
 0.18990623E+02, 0.59111531E-01
 0.19071115E+02, 0.59419721E-01
 0.19151608E+02, 0.59727917E-01
 0.19232102E+02, 0.60036116E-01
 0.19312598E+02, 0.60344320E-01
 0.19393094E+02, 0.60652529E-01
 0.19473592E+02, 0.60960741E-01
 0.19554091E+02, 0.61268957E-01
 0.19634591E+02, 0.61577178E-01
 0.19715091E+02, 0.61885402E-01
 0.19795593E+02, 0.62193630E-01
 0.19876096E+02, 0.62501862E-01
 0.19956600E+02, 0.62810098E-01
 0.20037104E+02, 0.63118337E-01
 0.20117610E+02, 0.63426579E-01
 0.20198116E+02, 0.63734825E-01
 0.20278624E+02, 0.64043074E-01
 0.20359132E+02, 0.64351326E-01
 0.20439640E+02, 0.64659582E-01
 0.20520150E+02, 0.64967840E-01
 0.20600661E+02, 0.65276101E-01
 0.20681172E+02, 0.65584365E-01
 0.20761684E+02, 0.65892632E-01
 0.20842196E+02, 0.66200901E-01
 0.20922709E+02, 0.66509173E-01
 0.21003223E+02, 0.66817447E-01
 0.21083738E+02, 0.67125724E-01
 0.21164253E+02, 0.67434003E-01
 0.21244768E+02, 0.67742284E-01
 0.21325285E+02, 0.68050567E-01
 0.21405801E+02, 0.68358852E-01
 0.21486318E+02, 0.68667139E-01
 0.21566836E+02, 0.68975428E-01
 0.21647354E+02, 0.69283719E-01
 0.21727873E+02, 0.69592011E-01
 0.21808392E+02, 0.69900305E-01
 0.21888911E+02, 0.70208600E-01
 0.21969431E+02, 0.70516896E-01
 0.22049951E+02, 0.70825194E-01
 0.22130471E+02, 0.71133493E-01
 0.22210992E+02, 0.71441793E-01
 0.22291512E+02, 0.71750094E-01
 0.22372033E+02, 0.72058396E-01
 0.22452555E+02, 0.72366699E-01
 0.22533076E+02, 0.72675003E-01
 0.22613598E+02, 0.72983307E-01
 0.22694120E+02, 0.73291611E-01
 0.22774642E+02, 0.73599917E-01
 0.22855164E+02, 0.73908222E-01
 0.22935686E+02, 0.74216528E-01
 0.23016208E+02, 0.74524834E-01
 0.23096730E+02, 0.74833140E-01
 0.23177245E+02, 0.75141420E-01
 0.23263916E+02, 0.75473270E-01
 0.23357127E+02, 0.75830157E-01
 0.23457269E+02, 0.76213584E-01
 0.23564742E+02, 0.76625080E-01
 0.23679948E+02, 0.77066185E-01
 0.23803290E+02, 0.77538444E-01
 0.23935168E+02, 0.78043381E-01
 0.24075970E+02, 0.78582491E-01
 0.24226073E+02, 0.79157210E-01
 0.24385831E+02, 0.79768897E-01
 0.24555573E+02, 0.80418809E-01
 0.24735591E+02, 0.81108068E-01
 0.24926137E+02, 0.81837638E-01
 0.25127412E+02, 0.82608286E-01
 0.25339558E+02, 0.83420559E-01
 0.25562651E+02, 0.84274745E-01
 0.25796691E+02, 0.85170845E-01
 0.26041595E+02, 0.86108544E-01
 0.26297191E+02, 0.87087180E-01
 0.26563211E+02, 0.88105726E-01
 0.26839285E+02, 0.89162768E-01
 0.27124941E+02, 0.90256498E-01
 0.27419601E+02, 0.91384702E-01
 0.27722584E+02, 0.92544773E-01
 0.28033107E+02, 0.93733714E-01
 0.28350293E+02, 0.94948166E-01
 0.28673177E+02, 0.96184438E-01
 0.29000719E+02, 0.97438542E-01
 0.29331813E+02, 0.98706245E-01
 0.29665303E+02, 0.99983124E-01
 0.30000000E+02, 0.10126462E+00
 0.00000000E+00, 0.38696481E+00
 0.79553127E-01, 0.38696481E+00
 0.15911293E+00, 0.38696481E+00
 0.23867938E+00, 0.38696481E+00
 0.31825247E+00, 0.38696481E+00
 0.39783216E+00, 0.38696481E+00
 0.47741844E+00, 0.38696481E+00
 0.55701129E+00, 0.38696481E+00
 0.63661067E+00, 0.38696481E+00
 0.71621657E+00, 0.38696481E+00
 0.79582896E+00, 0.38696481E+00
 0.87544783E+00, 0.38696481E+00
 0.95507315E+00, 0.38696481E+00
 0.10347049E+01, 0.38696481E+00
 0.11143430E+01, 0.38696481E+00
 0.11939876E+01, 0.38696481E+00
 0.12736385E+01, 0.38696481E+00
 0.13532957E+01, 0.38696481E+00
 0.14329592E+01, 0.38696481E+00
 0.15126291E+01, 0.38696481E+00
 0.15923052E+01, 0.38696481E+00
 0.16719875E+01, 0.38696481E+00
 0.17516761E+01, 0.38696481E+00
 0.18313709E+01, 0.38696481E+00
 0.19110718E+01, 0.38696481E+00
 0.19907790E+01, 0.38696481E+00
 0.20704922E+01, 0.38696481E+00
 0.21502116E+01, 0.38696481E+00
 0.22299370E+01, 0.38696481E+00
 0.23096685E+01, 0.38696481E+00
 0.23894061E+01, 0.38696481E+00
 0.24691496E+01, 0.38696481E+00
 0.25488992E+01, 0.38696481E+00
 0.26286547E+01, 0.38696481E+00
 0.27084162E+01, 0.38696481E+00
 0.27881836E+01, 0.38696481E+00
 0.28679570E+01, 0.38696481E+00
 0.29477362E+01, 0.38696481E+00
 0.30275212E+01, 0.38696481E+00
 0.31073121E+01, 0.38696481E+00
 0.31871089E+01, 0.38696481E+00
 0.32669114E+01, 0.38696481E+00
 0.33467197E+01, 0.38696481E+00
 0.34265337E+01, 0.38500235E+00
 0.35063534E+01, 0.38303974E+00
 0.35861789E+01, 0.38107700E+00
 0.36660100E+01, 0.37911411E+00
 0.37458468E+01, 0.37715109E+00
 0.38256892E+01, 0.37518793E+00
 0.39055373E+01, 0.37322463E+00
 0.39853909E+01, 0.37126119E+00
 0.40652500E+01, 0.36929762E+00
 0.41451148E+01, 0.36733391E+00
 0.42249850E+01, 0.36537006E+00
